"(2,9,7,4)","q^(-8)"
"(2,11,7,6)","-q^(-12)-q^(-10)+q^(-6)+q^(-4)"
"(2,8,8,2)","q^(-8)"
"(2,9,8,3)","-(1/(q^9*t))"
"(2,9,8,4)","q^(-8)"
"(2,11,8,6)","-q^(-12)+q^(-8)-t/q^13-t/q^11+t/q^9+t/q^7"
"(2,9,9,2)","1/(q^9*t)"
"(2,10,10,2)","-(t/q^11)"
"(2,11,10,3)","q^(-12)-t/q^15"
"(2,11,10,4)","-(t/q^11)+t^2/q^14"
"(2,11,11,2)","-q^(-12)"
"(3,0,0,3)","1"
"(3,1,0,5)","1"
"(3,2,0,6)","t/q^3"
"(3,3,0,7)","1"
"(3,4,0,7)","q^(-2)"
"(3,3,0,8)","t/q^3"
"(3,4,0,8)","t/q^3"
"(3,5,0,9)","1-q^(-2)"
"(3,6,0,10)","-(t/q^5)+t/q^3"
"(3,7,0,11)","1-q^(-2)"
"(3,8,0,11)","-1+q^(-2)"
"(3,1,1,3)","-(1/(q*t))"
"(3,3,1,6)","-q^(-4)"
"(3,4,1,6)","-q^(-2)"
"(3,5,1,7)","-(1/(q^3*t))+q/t"
"(3,5,1,8)","-q^(-4)+q^(-2)"
"(3,7,1,10)","q^(-6)-q^(-4)"
"(3,8,1,10)","1-q^(-2)"
"(3,9,1,11)","-(1/(q^3*t))+1/(q*t)+q/t-q^3/t"
"(3,2,2,3)","-(t/q^3)"
"(3,3,2,5)","-(t/q^3)"
"(3,4,2,5)","-(t/q^3)"
"(3,6,2,7)","t/q^5-t/q^3"
"(3,7,2,9)","-(t/q^5)+t/q^3"
"(3,8,2,9)","t/q^5-t/q^3"
"(3,3,3,3)","q^(-4)"
"(3,5,3,5)","q^(-4)"
"(3,6,3,6)","-(t/q^5)"
"(3,7,3,7)","-q^(-6)+q^(-4)+q^(-2)"
"(3,8,3,7)","-q^(-4)"
"(3,7,3,8)","t/q^5"
"(3,8,3,8)","-(t/q^5)"
"(3,9,3,9)","-q^(-6)+q^(-2)"
"(3,10,3,10)","t/q^7-t/q^3"
"(3,11,3,11)","1-q^(-4)+t/q^7-t/q^3"
"(3,4,4,3)","q^(-4)"
"(3,5,4,5)","-q^(-4)"
"(3,6,4,6)","t/q^7"
"(3,7,4,7)","-q^(-4)"
"(3,8,4,7)","q^(-6)+q^(-4)-q^(-2)"
"(3,7,4,8)","-(t/q^7)"
"(3,8,4,8)","t/q^7"
"(3,9,4,9)","q^(-6)-q^(-2)"
"(3,10,4,10)","-(t/q^9)+t/q^5"
"(3,11,4,11)","q^(-6)-q^(-2)-t/q^9+t/q^5"
"(3,5,5,3)","-(1/(q^5*t))"
"(3,7,5,6)","-q^(-8)"
"(3,8,5,6)","q^(-4)"
"(3,9,5,7)","-(1/(q^7*t))-1/(q^5*t)+1/(q^3*t)+1/(q*t)"
"(3,9,5,8)","-q^(-8)+q^(-4)"
"(3,11,5,10)","q^(-10)-q^(-6)-t/q^7+t/q^3"
"(3,6,6,3)","-(t/q^7)"
"(3,7,6,5)","t/q^7"
"(3,8,6,5)","-(t/q^7)"
"(3,10,6,7)","t/q^9-t/q^5"
"(3,11,6,9)","t/q^9-t/q^5-t^2/q^12+t^2/q^8"
"(3,7,7,3)","q^(-8)"
"(3,9,7,5)","q^(-8)"
"(3,10,7,6)","t/q^7"
"(3,11,7,7)","-q^(-10)+q^(-6)+q^(-4)-t/q^9"
"(3,11,7,8)","t/q^7-t^2/q^10"
"(3,8,8,3)","q^(-8)"
"(3,9,8,5)","q^(-8)"
"(3,10,8,6)","t/q^11"
"(3,11,8,7)","q^(-8)-t/q^13-t/q^11+t/q^7"
"(3,11,8,8)","t/q^11-t^2/q^14"
"(3,9,9,3)","-(1/(q^9*t))"
"(3,11,9,6)","-q^(-12)+t/q^9"
"(3,10,10,3)","-(t/q^11)"
"(3,11,10,5)","-(t/q^11)+t^2/q^14"
"(3,11,11,3)","q^(-12)"
"(4,0,0,4)","1"
"(4,1,0,5)","1/(q*t)"
"(4,2,0,6)","1"
"(4,3,0,7)","1/(q*t)"
"(4,4,0,7)","q/t"
"(4,3,0,8)","q^(-4)"
"(4,4,0,8)","1"
"(4,5,0,9)","-(1/(q^3*t))+1/(q*t)"
"(4,6,0,10)","1-q^(-2)"
"(4,7,0,11)","-(1/(q^3*t))+1/(q*t)"
"(4,8,0,11)","q/t-q^3/t"
"(4,1,1,4)","-(1/(q*t))"
"(4,3,1,6)","-(1/(q*t))"
"(4,4,1,6)","-(q/t)"
"(4,5,1,8)","1/(q^3*t)-1/(q*t)"
"(4,7,1,10)","1/(q^3*t)-1/(q*t)"
"(4,8,1,10)","-(q/t)+q^3/t"
"(4,2,2,4)","-(t/q^3)"
"(4,3,2,5)","-q^(-4)"
"(4,4,2,5)","-q^(-4)"
"(4,6,2,7)","-q^(-4)+q^(-2)"
"(4,6,2,8)","-(t/q^7)+t/q^3"
"(4,7,2,9)","-q^(-6)+q^(-4)"
"(4,8,2,9)","q^(-6)-q^(-4)"
"(4,10,2,11)","1+q^(-6)-q^(-4)-q^(-2)"
"(4,3,3,4)","q^(-4)"
"(4,5,3,5)","1/(q^5*t)"
"(4,6,3,6)","-q^(-2)"
"(4,7,3,7)","1/(q^5*t)"
"(4,8,3,7)","-(1/(q*t))"
"(4,7,3,8)","q^(-8)+q^(-6)-q^(-4)"
"(4,8,3,8)","-q^(-2)"
"(4,9,3,9)","-(1/(q^7*t))+1/(q^3*t)"
"(4,10,3,10)","-1+q^(-4)"
"(4,11,3,11)","-1+q^(-4)-1/(q^7*t)+1/(q^3*t)"
"(4,4,4,4)","q^(-4)"
"(4,5,4,5)","-(1/(q^5*t))"
"(4,6,4,6)","q^(-4)"
"(4,7,4,7)","-(1/(q^5*t))"
"(4,8,4,7)","1/(q*t)"
"(4,7,4,8)","-q^(-8)"
"(4,8,4,8)","-q^(-6)+q^(-4)+q^(-2)"
"(4,9,4,9)","1/(q^7*t)-1/(q^3*t)"
"(4,10,4,10)","-q^(-6)+q^(-2)"
"(4,11,4,11)","1-q^(-4)+1/(q^7*t)-1/(q^3*t)"
"(4,5,5,4)","-(1/(q^5*t))"
"(4,7,5,6)","-(1/(q^5*t))"
"(4,8,5,6)","1/(q*t)"
"(4,9,5,8)","1/(q^7*t)-1/(q^3*t)"
"(4,11,5,10)","1-q^(-4)+1/(q^7*t)-1/(q^3*t)"
"(4,6,6,4)","-(t/q^7)"
"(4,7,6,5)","q^(-8)"
"(4,8,6,5)","-q^(-8)"
"(4,10,6,7)","-q^(-8)+q^(-4)"
"(4,10,6,8)","-(t/q^11)-t/q^9+t/q^7+t/q^5"
"(4,11,6,9)","q^(-10)-q^(-6)-t/q^13+t/q^9"
"(4,7,7,4)","q^(-8)"
"(4,9,7,5)","1/(q^9*t)"
"(4,10,7,6)","q^(-4)"
"(4,11,7,7)","-q^(-6)+1/(q^9*t)"
"(4,11,7,8)","q^(-12)+q^(-10)-q^(-6)-t/q^7"
"(4,8,8,4)","q^(-8)"
"(4,9,8,5)","1/(q^9*t)"
"(4,10,8,6)","q^(-8)"
"(4,11,8,7)","-q^(-6)+1/(q^9*t)"
"(4,11,8,8)","q^(-12)+t/q^13-t/q^9-t/q^7"
"(4,9,9,4)","-(1/(q^9*t))"
"(4,11,9,6)","q^(-6)-1/(q^9*t)"
"(4,10,10,4)","-(t/q^11)"
"(4,11,10,5)","-q^(-12)+t/q^15"
"(4,11,11,4)","q^(-12)"
"(5,0,0,5)","1"
"(5,2,0,7)","1"
"(5,2,0,8)","t/q^3"
"(5,4,0,9)","1-q^(-2)"
"(5,6,0,11)","1-q^(-2)"
"(5,1,1,5)","1/(q*t)"
"(5,3,1,7)","1/(q*t)"
"(5,4,1,7)","q/t"
"(5,3,1,8)","q^(-4)"
"(5,4,1,8)","q^(-2)"
"(5,5,1,9)","-(1/(q^3*t))+1/(q*t)"
"(5,7,1,11)","-(1/(q^3*t))+1/(q*t)"
"(5,8,1,11)","q/t-q^3/t"
"(5,2,2,5)","-(t/q^3)"
"(5,6,2,9)","-(t/q^5)+t/q^3"
"(5,3,3,5)","-q^(-4)"
"(5,6,3,7)","q^(-2)"
"(5,6,3,8)","t/q^5"
"(5,7,3,9)","-q^(-6)+q^(-4)"
"(5,8,3,9)","-q^(-4)+q^(-2)"
"(5,10,3,11)","1-q^(-4)"
"(5,4,4,5)","-q^(-4)"
"(5,6,4,7)","-q^(-4)"
"(5,6,4,8)","-(t/q^7)"
"(5,8,4,9)","q^(-6)-q^(-2)"
"(5,10,4,11)","q^(-6)-q^(-2)"
"(5,5,5,5)","-(1/(q^5*t))"
"(5,7,5,7)","-(1/(q^5*t))"
"(5,8,5,7)","1/(q*t)"
"(5,7,5,8)","-q^(-8)"
"(5,8,5,8)","q^(-4)"
"(5,9,5,9)","1/(q^7*t)-1/(q^3*t)"
"(5,11,5,11)","1-q^(-4)+1/(q^7*t)-1/(q^3*t)"
"(5,6,6,5)","t/q^7"
"(5,10,6,9)","t/q^9-t/q^5"
"(5,7,7,5)","q^(-8)"
"(5,10,7,7)","q^(-4)"
"(5,10,7,8)","t/q^7"
"(5,11,7,9)","q^(-10)-q^(-6)+t/q^9-t/q^7"
"(5,8,8,5)","q^(-8)"
"(5,10,8,7)","q^(-8)"
"(5,10,8,8)","t/q^11"
"(5,11,8,9)","t/q^13-t/q^7"
"(5,9,9,5)","1/(q^9*t)"
"(5,11,9,7)","-q^(-6)+1/(q^9*t)"
"(5,11,9,8)","q^(-12)-t/q^9"
"(5,10,10,5)","-(t/q^11)"
"(5,11,11,5)","-q^(-12)"
"(6,0,0,6)","1"
"(6,1,0,7)","q/t"
"(6,1,0,8)","1"
"(6,3,0,10)","1-q^(-2)"
"(6,5,0,11)","q/t-q^3/t"
"(6,1,1,6)","-(q/t)"
"(6,5,1,10)","-(q/t)+q^3/t"
"(6,2,2,6)","t/q^3"
"(6,3,2,7)","q^(-2)"
"(6,4,2,7)","q^(-2)"
"(6,3,2,8)","t/q^3"
"(6,4,2,8)","t/q^3"
"(6,6,2,10)","-(t/q^5)+t/q^3"
"(6,7,2,11)","1-q^(-2)"
"(6,8,2,11)","-1+q^(-2)"
"(6,3,3,6)","-q^(-2)"
"(6,5,3,7)","-(1/(q*t))"
"(6,5,3,8)","-q^(-2)"
"(6,7,3,10)","-1+q^(-4)"
"(6,9,3,11)","-(1/(q*t))+q^3/t"
"(6,4,4,6)","-q^(-2)"
"(6,5,4,7)","1/(q*t)"
"(6,5,4,8)","q^(-2)"
"(6,7,4,10)","-q^(-4)+q^(-2)"
"(6,8,4,10)","1-q^(-2)"
"(6,9,4,11)","1/(q*t)-q^3/t"
"(6,5,5,6)","1/(q*t)"
"(6,9,5,10)","1/(q*t)-q^3/t"
"(6,6,6,6)","-(t/q^5)"
"(6,7,6,7)","q^(-4)"
"(6,8,6,7)","-q^(-4)"
"(6,7,6,8)","t/q^5"
